"BmpId","BmpShortName","BmpFullName","BmpCategoryId","BmpDetails","ParentBmpId","ParentBmpFullName","BmpGroupId","BmpTypeId"
54,covercroptradrld,Cover Crop Traditional Rye Late Drilled,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Rye cover crop is planted after the average frost date with a drilled seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
55,covercroptradrlo,Cover Crop Traditional Rye Late Other,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Rye cover crop is planted after the average frost date with neither a drilled nor aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
56,covercroptradwed,Cover Crop Traditional Wheat Early Drilled,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Wheat cover crop is planted at least 2 weeks prior to the average frost date with a drilled seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
57,covercroptradweo,Cover Crop Traditional Wheat Early Other,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Wheat cover crop is planted at least 2 weeks prior to the average frost date with neither a drilled nor aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
58,covercroptradwea,Cover Crop Traditional Wheat Early Aerial,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Wheat cover crop is planted at least 2 weeks prior to the average frost date with a aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
59,urbfilterrr,Filter Strip Runoff Reduction,1,Urban filter strips are stable areas with vegetated cover on flat or gently sloping land. Runoff entering the filter strip must be in the form of sheet-flow and must enter at a non-erosive rate for the site-specific soil conditions. A 0.4 design ratio of filter strip length to impervious flow length is recommended for runoff reduction urban filter strips. Enter unit of total acres treated or percent of acres treated.,59,Filter Strip Runoff Reduction,42,3
60,urbfilterst,Filter Strip Stormwater Treatment,1,Urban filter strips are stable areas with vegetated cover on flat or gently sloping land. Runoff entering the filter strip must be in the form of sheet-flow and must enter at a non-erosive rate for the site-specific soil conditions. A 0.2 design ratio of filter strip length to impervious flow length is recommended for stormwater treatment urban filter strips. Enter unit of total acres treated or percent of acres treated.,60,Filter Strip Stormwater Treatment,42,3
61,urbanforplant,Forest Planting,1,"Urban forest planting includes trees planted in a contiguous area to establish forest-like conditions, with minimal mowing as needed to aid tree and understory establishment. Do not include plantings used to establish riparian forest buffers. Trees are planted on pervious areas. Enter units of acres or percent.",61,Tree Planting - Forest,77,1
62,urbantreeplant,Tree Planting - Canopy,1,"Tree plantings on developed land (turf grass or impervious) that result in an increase in tree canopy but are not intended to result in forest-like conditions. If source data are in a count of trees, consider 300 trees equivalent to one acre. Enter units of acres or percent.",62,Tree Planting - Canopy,76,1
63,dirtgraveldsaout,Dirt & Gravel Road Erosion & Sediment Control - Driving Surface Aggregate with Outlets,1,"Reduce the amount of sediment runoff from dirt and gravel roads through the use of driving surface aggregates (DSA) such as durable and erosion resistant road surface and through the use of additional Drainage Outlets (creating new outlets in ditchline to reduce channelized flow). Where specific design is unknown, use the BMP with outlets only. Enter units of feet.",64,,73,4
64,dirtgravelnodsa,Dirt & Gravel Road Erosion & Sediment Control - Outlets only,1,"Reduce the amount of sediment runoff from dirt and gravel roads through the use of additional Drainage Outlets (creating new outlets in ditchline to reduce channelized flow). Where specific design is unknown, use this BMP with outlets only. Enter units of feet.",64,Dirt & Gravel Road Erosion & Sediment Control,73,4
65,grassbuffnarrow,Grass Buffer - Narrow,1,"Grass buffers are linear strips of grass or other non-woody vegetation maintained to help filter nutrients, sediment and other pollutants from runoff.  Narrow buffer width is between 10 and 35 feet.  Enter units of acres or percent.",65,Grass Buffer-Upland Crops and Hay,14,1
66,forestbuffnarrow,Forest Buffer - Narrow,1,"Forest buffers are linear wooded areas that help filter nutrients, sediments and other pollutants from runoff as well as remove nutrients from groundwater.  Narrow buffer width is between 10 and 35 feet.  Enter units of acres or percent.",66,Forest Buffer-Upland Crops and Hay,15,1
67,barnrunoffcont,Barnyard Runoff Control,1,"Includes the installation of practices to control runoff from barnyard areas.  This includes practices such as roof runoff control, diversion of clean water from entering the barnyard and control of runoff from barnyard areas.  Enter units of acres or percent.",67,Barnyard Runoff Control,48,3
68,loaflot,Loafing Lot Management,1,"The stabilization of areas frequently and intensively used by people, animals or vehicles by establishing vegetative cover, surfacing with suitable materials, and/or installing needed structures.  This does not include poultry pad installation.  Enter units of acres or percent.",68,Loafing Lot Management,48,3
69,poultred,Poultry Nutrient Reduction,2,"Poultry manure nutrient concentrations are reduced due to feed additives or other technological enhancements. Phytase is not included as it is already assumed in the manure nutrient concentrations.  Enter units of percent, number of animals or number of animal units.",69,Poultry Nutrient Reduction,81,5
70,ditchbioreactors,Denitrifying Ditch Bioreactors,1,Diversion of tile-line flow through a carbon-source filter to enhance conversion of nitrate to nitrogen gas that volatilizes. Enter units of length or acres treated.,70,Ditch Diversions,96,3
71,dairyprecfeed,Dairy Precision Feeding and/or Forage Management,2,"Dairy Precision Feeding reduces the quantity of phosphorus and nitrogen fed to livestock by formulating diets within 110% of Nutritional Research Council recommended level in order to minimize the excretion of nutrients without negatively affecting milk production.  Enter units of percent, number of animals or number of animal units.",71,Dairy Precision Feeding and/or Forage Management,81,5
72,covercroptradwnd,Cover Crop Traditional Wheat Normal Drilled,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Wheat cover crop is planted no more than 2 weeks prior to the average frost date with a drilled seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
73,covercroptradwno,Cover Crop Traditional Wheat Normal Other,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Wheat cover crop is planted no more than 2 weeks prior to the average frost date with neither a drilled nor aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
74,bioretudab,"Bioretention/raingardens - A/B soils, underdrain",1,"An excavated pit backfilled with engineered media, topsoil, mulch, and vegetation.  These are planting areas installed in shallow basins in which the storm water runoff is temporarily ponded and then treated by filtering through the bed components, and through biological and biochemical reactions within the soil matrix and around the root zones of the plants.  This BMP has an underdrain and is in A or B soil. Enter unit of total acres treated or percent of acres treated.",178,,42,3
75,bioswale,Bioswale,1,"With a bioswale, the load is reduced because, unlike other open channel designs, there is now infiltration into the soil.  A bioswale is designed to function as a bioretention area. Enter unit of total acres treated or percent of acres treated.",75,Bioswale,42,3
76,permpavsvudab,"Permeable Pavement w/ Sand, Veg. - A/B soils, underdrain",1,"Pavement or pavers that reduce runoff volume and treat water quality through both infiltration and filtration mechanisms.  Water filters through open voids in the pavement surface to a washed gravel subsurface storage reservoir, where it is then slowly infiltrated into the underlying soils or exits via an underdrain.  This BMP has an underdrain, has sand and/or vegetation and is in A or B soil. Enter unit of total acres treated or percent of acres treated.",174,,42,3
77,permpavnosvudab,"Permeable Pavement w/o Sand, Veg. - A/B soils, underdrain",1,"Pavement or pavers that reduce runoff volume and treat water quality through both infiltration and filtration mechanisms.  Water filters through open voids in the pavement surface to a washed gravel subsurface storage reservoir, where it is then slowly infiltrated into the underlying soils or exits via an underdrain.  This BMP has an underdrain, no sand or vegetation and is in A or B soil. Enter unit of total acres treated or percent of acres treated.",174,,42,3
78,vegopchannoudab,"Vegetated Open Channels - A/B soils, no underdrain",1,"Open channels are practices that convey stormwater runoff and provide treatment as the water is conveyed.  Runoff passes through either vegetation in the channel, subsoil matrix, and/or is infiltrated into the underlying soils. This BMP has no underdrain and is in A or B soil. Use this BMP where specific design is unknown. Enter unit of total acres treated or percent of acres treated.",78,Vegetated Open Channels,42,3
79,injection,Manure Injection,1,Manure is incorporated into the soil immediately. Enter units of acres or percent.,84,,98,3
80,covercroptradwld,Cover Crop Traditional Wheat Late Drilled,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Wheat cover crop is planted after the average frost date with a drilled seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
81,incorplowearly,Manure Incorporation Low Disturbance Early,1,Manure is incorporated into the soil within 24 hours of application with less than 40% soil disturbance. Enter units of acres or percent.,84,,98,3
82,incorphighearly,Manure Incorporation High Disturbance Early,1,Manure is incorporated into the soil within 24 hours of application. The level of soil disturbance is assumed to be high. Enter units of acres or percent.,85,,98,3
83,covercroptradwlo,Cover Crop Traditional Wheat Late Other,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Wheat cover crop is planted after the average frost date with neither a drilled nor aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Use this BMP where the planting time and species are unknown. Enter units of acres or percent.,83,Cover Crop,43,3
84,incorplowlate,Manure Incorporation Low Disturbance Late,1,Manure is incorporated into the soil between 1 and 3 days of application with less than 40% soil disturbance. Enter units of acres or percent.,84,Manure Incorporation Low,98,3
85,incorphighlate,Manure Incorporation High Disturbance Late,1,Manure is incorporated into the soil within 1 and 3 days of application. The level of soil disturbance is assumed to be high. Enter units of acres or percent.,85,Manure Incorporation High,98,3
86,covercroptradbed,Cover Crop Traditional Barley Early Drilled,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Barley cover crop is planted at least 2 weeks prior to the average frost date with a drilled seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
87,shoreagnoveg,Non Urban Shoreline Erosion Control Non-Vegetated,1,"Practices without a vegetated area along agriculturally-dominated tidal shorelines that prevent and/or reduces tidal sediments to the Bay. Shoreline practices can include living shorelines, revetments and/or breakwater systems and bulkheads and seawalls. Only report practices installed after 12/31/2007. Shoreline BMPs before 2008 are automatically credited. Input units of feet and acres. If only feet are known, use the Shoreline Management BMP that does not specify vegetative conditions.",26,,72,4
88,shoreagveg,Non Urban Shoreline Erosion Control Vegetated,1,"Practices with a vegetated area along agriculturally-dominated tidal shorelines that prevent and/or reduces tidal sediments to the Bay. Shoreline practices can include living shorelines, revetments and/or breakwater systems and bulkheads and seawalls. Only report practices installed after 12/31/2007. Shoreline BMPs before 2008 are automatically credited. Input units of feet and acres. If only feet are known, use the Shoreline Management BMP that does not specify vegetative conditions.",26,,72,4
89,shoreurbnoveg,Urban Shoreline Erosion Control Non-Vegetated,1,"Practices without a vegetated area along urban-dominated tidal shorelines that prevent and/or reduces tidal sediments to the Bay. Shoreline practices can include living shorelines, revetments and/or breakwater systems and bulkheads and seawalls. Only report practices installed after 12/31/2007. Shoreline BMPs before 2008 are automatically credited. Input units of feet and acres. If only feet are known, use the Shoreline Management BMP that does not specify vegetative conditions.",26,,72,4
90,shoreurbveg,Urban Shoreline Erosion Control Vegetated,1,"Practices with a vegetated area along urban-dominated tidal shorelines that prevent and/or reduces tidal sediments to the Bay. Shoreline practices can include living shorelines, revetments and/or breakwater systems and bulkheads and seawalls. Only report practices installed after 12/31/2007. Shoreline BMPs before 2008 are automatically credited. Input units of feet and acres. If only feet are known, use the Shoreline Management BMP that does not specify vegetative conditions.",26,,72,4
91,tideaft,Algal Flow-way Tidal,1,Algal flow-way technologies are inclined race-ways in tidal waters that receive nutrient-laden water so natural algal assemblages can accumulate and then be harvested for an end use. Enter units of acres only.,93,,72,4
92,tideaftmon,Algal Flow-way Tidal Monitored,1,"Algal flow-way technologies are inclined race-ways in tidal waters that receive nutrient-laden water so natural algal assemblages can accumulate and then be harvested for an end use. Inflow/outflow biomass monitoring is required. Enter units of acres and pounds of TN, TP, or TSS.",93,,72,4
